Center Image,Left Image,Right Image,Steer Angle,Throttle,Speed_n,Epsilon
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_11_782.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_11_782.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_11_782.jpg,-1,0.3956366,0,0.3351613
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_11_851.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_11_851.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_11_851.jpg,-1,0.6008269,0,0.7092876
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_11_960.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_11_960.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_11_960.jpg,-1,0.9163727,0,1.838357
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_12_051.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_12_051.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_12_051.jpg,-1,1,0,2.723152
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_12_150.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_12_150.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_12_150.jpg,-1,1,0,3.852392
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_12_242.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_12_242.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_12_242.jpg,-1,1,0,4.97259
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_12_309.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_12_309.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_12_309.jpg,-1,1,0,5.638454
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_12_380.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_12_380.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_12_380.jpg,-1,1,0,6.518558
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_12_448.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_12_448.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_12_448.jpg,-1,1,0,7.17397
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_12_546.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_12_546.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_12_546.jpg,-1,1,0,8.257785
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_12_614.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_12_614.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_12_614.jpg,-1,1,0,8.903023
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_12_685.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_12_685.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_12_685.jpg,-1,1,0,9.757503
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_12_772.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_12_772.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_12_772.jpg,0,0.7424326,0,10.29055
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_12_864.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_12_864.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_12_864.jpg,0,0.4651937,0,10.82626
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_12_954.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_12_954.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_12_954.jpg,0,0.3791723,0,11.15322
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_13_052.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_13_052.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_13_052.jpg,0,0.6744668,0,11.70602
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_13_133.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_13_133.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_13_133.jpg,0,0.8869466,0,12.3115
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_13_194.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_13_194.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_13_194.jpg,0,1,0,12.83739
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_13_288.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_13_288.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_13_288.jpg,0,1,0,14.01935
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_13_356.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_13_356.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_13_356.jpg,0,1,0,14.60489
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_13_450.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_13_450.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_13_450.jpg,0,1,0,15.73458
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_13_543.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_13_543.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_13_543.jpg,-0.15,1,0,16.71851
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_13_617.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_13_617.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_13_617.jpg,-0.35,1,0,17.51789
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_13_711.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_13_711.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_13_711.jpg,-0.5500001,1,0,18.25795
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_13_808.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_13_808.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_13_808.jpg,0,1,0,19.08096
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_13_907.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_13_907.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_13_907.jpg,0,1,0,20.06596
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_002.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_002.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_002.jpg,0,1,0,21.02851
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_098.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_098.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_098.jpg,0,1,0,22.05658
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_165.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_165.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_165.jpg,0,1,0,22.63228
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_235.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_235.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_235.jpg,0,1,0,23.41998
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_303.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_303.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_303.jpg,0,1,0,24.00864
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_395.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_395.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_395.jpg,0,0.8239991,0,24.89198
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_462.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_462.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_462.jpg,0,0.6171777,0,25.24657
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_532.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_532.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_532.jpg,0,0.4062941,0,25.49292
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_626.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_626.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_626.jpg,0,0.5122637,0,25.71033
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_721.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_721.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_721.jpg,-0.25,0.7986311,0,26.22812
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_812.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_812.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_812.jpg,-0.45,1,0,26.80527
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_884.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_884.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_884.jpg,-0.6500001,1,0,27.3697
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_14_967.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_14_967.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_14_967.jpg,-0.8500001,1,0,27.84374
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_035.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_035.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_035.jpg,0,0.7960076,0,28.38897
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_108.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_108.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_108.jpg,0,0.5739936,0,28.71699
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_179.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_179.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_179.jpg,0,0.3619252,0,28.90331
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_249.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_249.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_249.jpg,0,0.1530491,0,28.9042
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_333.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_333.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_333.jpg,-0.1,0.403547,0,28.96272
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_414.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_414.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_414.jpg,-0.3,0.6479129,0,29.1839
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_489.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_489.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_489.jpg,0,0.4207253,0,29.44802
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_571.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_571.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_571.jpg,0,0.175192,0,29.4813
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_652.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_652.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_652.jpg,0,0,0,29.31334
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_721.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_721.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_721.jpg,0,0,0,29.08018
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_793.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_793.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_793.jpg,0.15,0,0,28.89487
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_880.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_880.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_880.jpg,0.4,0,0,28.50243
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_15_961.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_15_961.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_15_961.jpg,0,0,0,28.17965
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_16_032.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_16_032.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_16_032.jpg,0,0,0,28.00014
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_16_104.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_16_104.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_16_104.jpg,0,0,0,27.77156
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_16_177.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_16_177.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_16_177.jpg,0,0,0,27.54746
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_16_256.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_16_256.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_16_256.jpg,0,0,0,27.32579
D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\center_2019_07_06_22_17_16_327.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\left_2019_07_06_22_17_16_327.jpg,D:\Self Driving Car in Unity Environment\Volumes\CPSC587DATA\RecordedImg\IMG\right_2019_07_06_22_17_16_327.jpg,-0.15,0.108976,0,27.18916
